Attr_For,Font_Size,Font_Weight,Is_Text,Nearest_Color,Nearest_Bg_Color,Distance_From_Input,Class
0.0,0.5,0.25,1.0,grey,black,0.0164,None
0.0,0.5,0.0,0.0,grey,black,0.0,None
0.0,0.5,0.0,0.0,grey,white,0.0464,None
0.0,0.5,0.0,0.0,grey,black,0.0035,None
0.0,0.5,0.0,0.0,grey,black,0.1546,None
0.0,0.5,0.25,0.0,white,green,0.0778,None
0.0,0.5,0.0,0.0,grey,black,0.0619,None
0.0,0.5,0.0,0.0,grey,black,0.0318,None
0.0,0.5,0.0,0.0,grey,black,0.0682,None
0.0,0.5,0.0,0.0,grey,black,0.0619,None
0.0,0.5,0.0,0.0,grey,black,0.0424,None
0.0,0.7,0.0,0.0,white,black,0.0591,None
0.0,0.5,0.0,0.0,grey,black,0.0445,None
0.0,0.5,0.0,0.0,grey,black,0.0538,None
0.0,0.5,0.0,0.0,grey,black,0.0499,None
0.0,0.5,0.0,0.0,grey,black,0.0346,None
0.0,0.5,0.0,0.0,grey,black,0.043,None
0.0,0.5,0.0,0.0,grey,black,0.0031,None
0.0,0.5,0.0,0.0,grey,white,0.075,None
0.0,0.5,0.0,0.0,grey,black,0.1546,None
0.0,0.5,0.0,0.0,grey,black,0.071,None
0.0,0.5,0.0,0.0,grey,black,0.1716,None
0.0,0.5,0.0,0.0,grey,black,0.03,None
0.0,0.5,0.0,0.0,grey,green,0.044000000000000004,None
0.0,0.5,0.0,0.0,grey,black,0.0005,None
0.0,0.5,0.0,0.0,grey,black,0.0,None
0.0,0.5,0.0,0.0,grey,black,0.0869,None
0.0,0.5,0.25,0.0,white,black,0.0868,None
0.0,0.5,0.0,0.0,grey,black,0.0,None
0.0,0.5,0.0,0.0,grey,black,0.053,None
0.0,0.5,0.0,0.0,grey,black,0.0005,None
0.0,0.5,0.0,0.0,grey,black,0.0249,None
0.0,0.5,0.0,1.0,grey,black,0.0353,None
0.0,0.5,0.0,0.0,grey,black,0.0318,None
0.0,0.5,0.0,0.0,grey,black,0.0585,None
0.0,0.5,0.25,1.0,grey,white,0.08800000000000001,None
0.0,0.5,0.0,1.0,grey,black,0.0235,None
0.0,0.5,0.0,1.0,grey,black,0.161,None
0.0,0.5,0.0,1.0,grey,black,0.071,None
0.0,0.5,0.0,1.0,grey,black,0.0693,None
0.0,0.5,0.0,1.0,grey,black,0.0701,None
0.0,0.5,0.0,0.0,grey,black,0.1716,None
0.0,0.0,0.0,1.0,grey,black,0.0714,None
0.0,0.5,0.0,0.0,grey,black,0.0551,None
0.0,0.5,0.0,0.0,grey,black,0.0396,None
0.0,0.5,0.0,0.0,grey,black,0.1603,None
0.0,0.5,0.0,0.0,grey,black,0.0005,None
0.0,0.5,0.0,0.0,grey,white,0.0,None
0.0,0.5,0.0,0.0,grey,black,0.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,0.0005,None
0.0,0.5,0.0,0.0,grey,black,0.0384,None
0.0,0.5,0.0,0.0,grey,black,0.0371,None
0.0,0.5,0.0,0.0,grey,black,0.0493,None
0.0,0.5,0.0,0.0,grey,black,0.0539,None
0.0,0.5,0.0,0.0,grey,black,0.0005,None
0.0,0.6667,0.25,0.0,white,black,0.0466,None
0.0,0.5,0.0,0.0,grey,black,0.0542,None
0.0,0.5,0.0,0.0,grey,black,0.0445,None
0.0,0.7,0.0,0.0,white,black,0.0519,None
0.0,0.5,0.0,0.0,grey,black,0.0374,None
